Base,OrientacionH1,OrientacionH2,SignoV,SignoH1,SignoH2,AnguloH1,AnguloH2,EjeV,EjeH1,EjeH2,Norte,Oeste,LatEstacion,LonEstacion,Norte.1,Oeste.1,LatSismo,LonSismo,Fecha,Institucion,IDEstacion,HoraEpicentro,HoraPrimerMuestra,Profundidad,Mw,Mb,Ms,Mc,Ma,Me,Md,Ml,M,GMW,IDSismo
AGCA1405.081,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,16.83733,99.64526,N,W,17.11,-100.87,2014-05-08,INSTITUTO DE INGENIERIA UNAM,AGCA,17:00:16,16:59:49.000,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,6.5,201405081700A
CANA0903.271,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,18.567007,101.977162,N,W,17.35,-100.82,2009-03-27,INSTITUTO DE INGENIERIA UNAM,CANA,08:48:16,08:48:03.000,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,5.3,200903270848A
TEAC1802.171,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.61763,99.454086,N,W,15.844,-97.989,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,TEAC,00:36:51,00:37:38.000,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,6.0,201802170036A
CPDR9310.241,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,16.769,99.633,N,W,16.54,-98.98,1993-10-24,INSTITUTO DE INGENIERIA UNAM,CPDR,07:52:18.2,07:52:35.00,19.0,0.0,6.2,6.6,6.5,0.0,0.0,0.0,0.0,0.0,6.6,102493C
XALA1802.171,NE,NE,1.0,1.0,1.0,00,90,0.0,1.0,2.0,N,W,19.529875,96.901973,N,W,15.844,-97.989,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,XALA,00:36:51,00:37:36.000,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,6.0,201802170036A
NUX21405.082,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.216711,100.79117,N,W,17.12,-100.86,2014-05-08,INSTITUTO DE INGENIERIA UNAM,NUX2,17:16:30,17:15:44.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0
TXS19802.031,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,19.493,98.973,N,W,15.69,-96.37,1998-02-03,INSTITUTO DE INGENIERIA UNAM,TXS1,03:02:01.1,03:03:29.630,33.0,0.0,6.0,6.2,6.4,6.4,0.0,0.0,0.0,0.0,6.3,020398A
SXPU9701.211,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.039943,98.215087,N,W,16.24,-98.29,1997-01-21,INSTITUTO DE INGENIERIA UNAM/,SXPU,21:19:58.2,21:21:20.0  ,5.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,5.5,012197D
COYQ1104.261,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.380235,101.056526,N,W,16.71,-99.69,2011-04-26,INSTITUTO DE INGENIERIA UNAM ,COYQ,11:07:28,11:07:23.000,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,5.4,201104261107A
PBP21802.16138,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,19.045439,98.208468,N,W,16.218,-98.014,2018-02-16,BENEMERITA UNIVERSIDAD AUTONOMA DE PUEBLA  FACULTAD,PBP2,23:39:39,23:39:44.000,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,201802162339A
PANG0401.131,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,15.666837,96.490506,N,W,15.99,-97.15,2004-01-13,INSTITUTO DE INGENIERIA UNAM,PANG,21:28:58.0,21:29:08.00,16.0,0.0,5.5,5.1,5.5,5.3,5.7,0.0,0.0,0.0,5.4,011304J
TOTO1308.211,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,19.330241,98.256828,N,W,16.79,-99.56,2013-08-21,INSTITUTO DE INGENIERIA UNAM,TOTO,12:38:30,12:38:31.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.2,201308211238A
HUAM1606.272,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.031121,95.670297,N,W,16.2,-97.93,2016-06-27,INSTITUTO DE INGENIERIA UNAM ,HUAM,20:50:33,20:50:44.000,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.6,201606272050A
SCT21802.191,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,19.394694,99.148678,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,SCT2,06:56:58,06:57:47.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
VILE9805.091,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.045264,102.188937,N,W,17.34,-101.41,1998-05-09,INSTITUTO DE INGENIERIA UNAM,VILE,17:03:13.1,17:03:16.815,18.0,0.0,4.8,4.7,4.8,5.2,5.1,0.0,0.0,0.0,5.2,050998I
ATYC9509.141,SE,SE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.213361,100.432269,N,W,16.31,-98.88,1995-09-14,INSTITUTO DE INGENIERIA UNAM,ATYC,14:04:30.5,14:05:38.23,22.0,0.0,6.4,7.2,7.3,0.0,0.0,0.0,0.0,0.0,7.3,091495C
TOTO1605.081,NE,NE,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,19.330241,98.256828,N,W,16.25,-97.98,2016-05-08,INSTITUTO DE INGENIERIA UNAM ,TOTO,07:33:59,07:34:07.000,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201605080734A
CALE0301.221,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.07287,102.754441,N,W,18.6,-104.22,2003-01-22,INSTITUTO DE INGENIERIA UNAM,CALE,02:06:34.5,02:06:31.000,9.0,0.0,6.5,7.6,0.0,7.2,7.6,0.0,0.0,0.0,7.5,012203A
ACAN9509.141,SE,SE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,16.866,99.863,N,W,16.31,-98.88,1995-09-14,INSTITUTO DE INGENIERIA UNAM,ACAN,14:04:30.5,14:05:08   ,22.0,0.0,6.4,7.2,7.3,0.0,0.0,0.0,0.0,0.0,7.3,091495C
OXPM1802.172,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.061391,96.716899,N,W,16.072,-97.802,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,OXPM,03:54:42,03:54:23.000,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0
VILE8509.191,SE,SE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,18.045264,102.188937,N,W,18.081,-102.942,1985-09-19,INSTITUTO DE INGENIERIA UNAM,VILE,13:17:42.6,13:18:01.07,15.0,0.0,6.8,8.1,8.1,0.0,0.0,0.0,0.0,0.0,8.0,091985B
TACY1606.271,NE,NE,1.0,1.0,1.0,00,90,0.0,1.0,2.0,N,W,19.404505,99.195246,N,W,16.2,-97.93,2016-06-27,INSTITUTO DE INGENIERIA UNAM,TACY,20:50:33,20:51:20.830,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,5.6,201606272050A
OXLC0401.132,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.065039,96.703157,N,W,15.99,-97.15,2004-01-13,INSTITUTO DE INGENIERIA UNAM,OXLC,21:28:58.0,21:29:13.00,16.0,0.0,5.5,5.1,5.5,5.3,5.7,0.0,0.0,0.0,5.4,011304J
OXPM0401.132,NW,NW,1.0,1.0,1.0,00,90,2.0,0.0,1.0,N,W,17.061391,96.716899,N,W,15.99,-97.15,2004-01-13,INSTITUTO DE INGENIERIA UNAM,OXPM,21:28:58.0,21:29:13.00,16.0,0.0,5.5,5.1,5.5,5.3,5.7,0.0,0.0,0.0,5.4,011304J
CUP29310.241,NE,NE,1.0,1.0,1.0,90,0,0.0,1.0,2.0,N,W,19.33,99.183,N,W,16.54,-98.98,1993-10-24,INSTITUTO DE INGENIERIA UNAM,CUP2,07:52:18.2,07:53:44.00,19.0,0.0,6.2,6.6,6.5,0.0,0.0,0.0,0.0,0.0,6.6,102493C
ATYC1308.212,NW,NW,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.213361,100.432269,N,W,16.73,-99.7,2013-08-21,INSTITUTO DE INGENIERIA UNAM ,ATYC,13:02:18,13:01:53.000,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.3,201308211302A
CHFL1802.191,NE,NE,1.0,1.0,1.0,90,0,1.0,0.0,2.0,N,W,17.969493,97.865638,N,W,16.248,-97.775,2018-02-19,INSTITUTO DE INGENIERIA UNAM ,CHFL,06:56:58,06:56:38.000,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.9,201802190657A
CUP51802.171,NE,NE,1.0,1.0,1.0,00,90,0.0,1.0,2.0,N,W,19.33024,99.181076,N,W,15.844,-97.989,2018-02-17,INSTITUTO DE INGENIERIA UNAM ,CUP5,00:36:51,00:34:56.000,24.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,6.0,201802170036A
